timestamp,location_id,ambient_temperature,solar_irradiance,wind_speed,relative_humidity,cloud_cover
2026-01-15 00:00:00,chennai,24.21,0.0,3.03,92.0,0.3
2026-01-15 01:00:00,chennai,23.0,0.0,3.03,92.0,0.32
2026-01-15 02:00:00,chennai,21.96,0.0,3.03,92.0,0.34
2026-01-15 03:00:00,chennai,21.17,0.0,3.03,92.0,0.35
2026-01-15 04:00:00,chennai,20.67,0.0,3.03,92.0,0.37
2026-01-15 05:00:00,chennai,20.5,0.0,3.03,92.0,0.38
2026-01-15 06:00:00,chennai,20.67,0.0,3.03,92.0,0.38
2026-01-15 07:00:00,chennai,21.17,0.0,3.03,85.3,0.38
2026-01-15 08:00:00,chennai,21.96,215.2,3.03,79.0,0.37
2026-01-15 09:00:00,chennai,23.0,411.2,3.67,73.3,0.36
2026-01-15 10:00:00,chennai,24.21,570.7,4.26,68.5,0.35
2026-01-15 11:00:00,chennai,25.5,679.5,4.78,65.0,0.33
2026-01-15 12:00:00,chennai,26.79,728.0,5.17,62.8,0.31
2026-01-15 13:00:00,chennai,28.0,711.7,5.42,62.0,0.29
2026-01-15 14:00:00,chennai,29.04,632.2,5.5,62.8,0.27
2026-01-15 15:00:00,chennai,29.83,496.5,5.42,65.0,0.25
2026-01-15 16:00:00,chennai,30.33,316.7,5.17,68.5,0.24
2026-01-15 17:00:00,chennai,30.5,108.8,4.78,73.3,0.23
2026-01-15 18:00:00,chennai,30.33,0.0,4.26,79.0,0.22
2026-01-15 19:00:00,chennai,29.83,0.0,3.67,85.3,0.22
2026-01-15 20:00:00,chennai,29.04,0.0,3.03,92.0,0.22
2026-01-15 21:00:00,chennai,28.0,0.0,3.03,92.0,0.23
2026-01-15 22:00:00,chennai,26.79,0.0,3.03,92.0,0.24
2026-01-15 23:00:00,chennai,25.5,0.0,3.03,92.0,0.26
2026-01-16 00:00:00,chennai,24.21,0.0,3.03,92.0,0.28
2026-01-16 01:00:00,chennai,23.0,0.0,3.03,92.0,0.3
2026-01-16 02:00:00,chennai,21.96,0.0,3.03,92.0,0.32
2026-01-16 03:00:00,chennai,21.17,0.0,3.03,92.0,0.34
2026-01-16 04:00:00,chennai,20.67,0.0,3.03,92.0,0.35
2026-01-16 05:00:00,chennai,20.5,0.0,3.03,92.0,0.37
2026-01-16 06:00:00,chennai,20.67,0.0,3.03,92.0,0.38
2026-01-16 07:00:00,chennai,21.17,0.0,3.03,85.3,0.38
2026-01-16 08:00:00,chennai,21.96,215.2,3.03,79.0,0.38
2026-01-16 09:00:00,chennai,23.0,411.2,3.67,73.3,0.37
2026-01-16 10:00:00,chennai,24.21,570.7,4.26,68.5,0.36
2026-01-16 11:00:00,chennai,25.5,679.5,4.78,65.0,0.35
2026-01-16 12:00:00,chennai,26.79,728.0,5.17,62.8,0.33
2026-01-16 13:00:00,chennai,28.0,711.7,5.42,62.0,0.31
2026-01-16 14:00:00,chennai,29.04,632.2,5.5,62.8,0.29
2026-01-16 15:00:00,chennai,29.83,496.5,5.42,65.0,0.27
2026-01-16 16:00:00,chennai,30.33,316.7,5.17,68.5,0.26
2026-01-16 17:00:00,chennai,30.5,108.8,4.78,73.3,0.24
2026-01-16 18:00:00,chennai,30.33,0.0,4.26,79.0,0.23
2026-01-16 19:00:00,chennai,29.83,0.0,3.67,85.3,0.22
2026-01-16 20:00:00,chennai,29.04,0.0,3.03,92.0,0.22
2026-01-16 21:00:00,chennai,28.0,0.0,3.03,92.0,0.22
2026-01-16 22:00:00,chennai,26.79,0.0,3.03,92.0,0.23
2026-01-16 23:00:00,chennai,25.5,0.0,3.03,92.0,0.24
2026-01-17 00:00:00,chennai,24.21,0.0,3.03,92.0,0.26
2026-01-17 01:00:00,chennai,23.0,0.0,3.03,92.0,0.28
2026-01-17 02:00:00,chennai,21.96,0.0,3.03,92.0,0.29
2026-01-17 03:00:00,chennai,21.17,0.0,3.03,92.0,0.31
2026-01-17 04:00:00,chennai,20.67,0.0,3.03,92.0,0.33
2026-01-17 05:00:00,chennai,20.5,0.0,3.03,92.0,0.35
2026-01-17 06:00:00,chennai,20.67,0.0,3.03,92.0,0.36
2026-01-17 07:00:00,chennai,21.17,0.0,3.03,85.3,0.37
2026-01-17 08:00:00,chennai,21.96,215.2,3.03,79.0,0.38
2026-01-17 09:00:00,chennai,23.0,411.2,3.67,73.3,0.38
2026-01-17 10:00:00,chennai,24.21,570.7,4.26,68.5,0.37
2026-01-17 11:00:00,chennai,25.5,679.5,4.78,65.0,0.37
2026-01-17 12:00:00,chennai,26.79,728.0,5.17,62.8,0.35
2026-01-17 13:00:00,chennai,28.0,711.7,5.42,62.0,0.34
2026-01-17 14:00:00,chennai,29.04,632.2,5.5,62.8,0.32
2026-01-17 15:00:00,chennai,29.83,496.5,5.42,65.0,0.3
2026-01-17 16:00:00,chennai,30.33,316.7,5.17,68.5,0.28
2026-01-17 17:00:00,chennai,30.5,108.8,4.78,73.3,0.26
2026-01-17 18:00:00,chennai,30.33,0.0,4.26,79.0,0.24
2026-01-17 19:00:00,chennai,29.83,0.0,3.67,85.3,0.23
2026-01-17 20:00:00,chennai,29.04,0.0,3.03,92.0,0.22
2026-01-17 21:00:00,chennai,28.0,0.0,3.03,92.0,0.22
2026-01-17 22:00:00,chennai,26.79,0.0,3.03,92.0,0.22
2026-01-17 23:00:00,chennai,25.5,0.0,3.03,92.0,0.23
2026-01-18 00:00:00,chennai,24.21,0.0,3.03,92.0,0.24
2026-01-18 01:00:00,chennai,23.0,0.0,3.03,92.0,0.25
2026-01-18 02:00:00,chennai,21.96,0.0,3.03,92.0,0.27
2026-01-18 03:00:00,chennai,21.17,0.0,3.03,92.0,0.29
2026-01-18 04:00:00,chennai,20.67,0.0,3.03,92.0,0.31
2026-01-18 05:00:00,chennai,20.5,0.0,3.03,92.0,0.33
