timestamp,location_id,ambient_temperature,solar_irradiance,wind_speed,relative_humidity,cloud_cover
2026-01-15 00:00:00,kargil,-13.63,0.0,2.65,52.0,0.15
2026-01-15 01:00:00,kargil,-15.38,0.0,2.65,52.0,0.17
2026-01-15 02:00:00,kargil,-16.88,0.0,2.65,52.0,0.19
2026-01-15 03:00:00,kargil,-18.03,0.0,2.65,52.0,0.2
2026-01-15 04:00:00,kargil,-18.75,0.0,2.65,52.0,0.22
2026-01-15 05:00:00,kargil,-19.0,0.0,2.65,52.0,0.23
2026-01-15 06:00:00,kargil,-18.75,0.0,2.65,52.0,0.23
2026-01-15 07:00:00,kargil,-18.03,0.0,2.65,45.8,0.23
2026-01-15 08:00:00,kargil,-16.88,250.5,2.65,39.9,0.22
2026-01-15 09:00:00,kargil,-15.38,478.8,3.31,34.5,0.21
2026-01-15 10:00:00,kargil,-13.63,664.6,3.92,30.1,0.2
2026-01-15 11:00:00,kargil,-11.75,791.2,4.45,26.8,0.18
2026-01-15 12:00:00,kargil,-9.87,847.6,4.86,24.7,0.16
2026-01-15 13:00:00,kargil,-8.13,828.7,5.11,24.0,0.14
2026-01-15 14:00:00,kargil,-6.62,736.1,5.2,24.7,0.12
2026-01-15 15:00:00,kargil,-5.47,578.1,5.11,26.8,0.1
2026-01-15 16:00:00,kargil,-4.75,368.8,4.86,30.1,0.09
2026-01-15 17:00:00,kargil,-4.5,126.7,4.45,34.5,0.08
2026-01-15 18:00:00,kargil,-4.75,0.0,3.92,39.9,0.07
2026-01-15 19:00:00,kargil,-5.47,0.0,3.31,45.8,0.07
2026-01-15 20:00:00,kargil,-6.62,0.0,2.65,52.0,0.07
2026-01-15 21:00:00,kargil,-8.12,0.0,2.65,52.0,0.08
2026-01-15 22:00:00,kargil,-9.87,0.0,2.65,52.0,0.09
2026-01-15 23:00:00,kargil,-11.75,0.0,2.65,52.0,0.11
2026-01-16 00:00:00,kargil,-13.63,0.0,2.65,52.0,0.13
2026-01-16 01:00:00,kargil,-15.38,0.0,2.65,52.0,0.15
2026-01-16 02:00:00,kargil,-16.88,0.0,2.65,52.0,0.17
2026-01-16 03:00:00,kargil,-18.03,0.0,2.65,52.0,0.19
2026-01-16 04:00:00,kargil,-18.75,0.0,2.65,52.0,0.2
2026-01-16 05:00:00,kargil,-19.0,0.0,2.65,52.0,0.22
