timestamp,location_id,ambient_temperature,solar_irradiance,wind_speed,relative_humidity,cloud_cover
2026-01-15 00:00:00,mumbai,22.69,0.0,2.58,88.0,0.25
2026-01-15 01:00:00,mumbai,21.0,0.0,2.58,88.0,0.27
2026-01-15 02:00:00,mumbai,19.55,0.0,2.58,88.0,0.29
2026-01-15 03:00:00,mumbai,18.44,0.0,2.58,88.0,0.3
2026-01-15 04:00:00,mumbai,17.74,0.0,2.58,88.0,0.32
2026-01-15 05:00:00,mumbai,17.5,0.0,2.58,88.0,0.33
2026-01-15 06:00:00,mumbai,17.74,0.0,2.58,88.0,0.33
2026-01-15 07:00:00,mumbai,18.44,0.0,2.58,81.3,0.33
2026-01-15 08:00:00,mumbai,19.55,209.3,2.58,75.0,0.32
2026-01-15 09:00:00,mumbai,21.0,400.0,3.18,69.3,0.31
2026-01-15 10:00:00,mumbai,22.69,555.1,3.74,64.5,0.3
2026-01-15 11:00:00,mumbai,24.5,660.9,4.22,61.0,0.28
2026-01-15 12:00:00,mumbai,26.31,708.0,4.59,58.8,0.26
2026-01-15 13:00:00,mumbai,28.0,692.2,4.82,58.0,0.24
2026-01-15 14:00:00,mumbai,29.45,614.9,4.9,58.8,0.22
2026-01-15 15:00:00,mumbai,30.56,482.9,4.82,61.0,0.2
2026-01-15 16:00:00,mumbai,31.26,308.1,4.59,64.5,0.19
2026-01-15 17:00:00,mumbai,31.5,105.8,4.22,69.3,0.18
2026-01-15 18:00:00,mumbai,31.26,0.0,3.74,75.0,0.17
2026-01-15 19:00:00,mumbai,30.56,0.0,3.18,81.3,0.17
2026-01-15 20:00:00,mumbai,29.45,0.0,2.58,88.0,0.17
2026-01-15 21:00:00,mumbai,28.0,0.0,2.58,88.0,0.18
2026-01-15 22:00:00,mumbai,26.31,0.0,2.58,88.0,0.19
2026-01-15 23:00:00,mumbai,24.5,0.0,2.58,88.0,0.21
2026-01-16 00:00:00,mumbai,22.69,0.0,2.58,88.0,0.23
2026-01-16 01:00:00,mumbai,21.0,0.0,2.58,88.0,0.25
2026-01-16 02:00:00,mumbai,19.55,0.0,2.58,88.0,0.27
2026-01-16 03:00:00,mumbai,18.44,0.0,2.58,88.0,0.29
2026-01-16 04:00:00,mumbai,17.74,0.0,2.58,88.0,0.3
2026-01-16 05:00:00,mumbai,17.5,0.0,2.58,88.0,0.32
2026-01-16 06:00:00,mumbai,17.74,0.0,2.58,88.0,0.33
2026-01-16 07:00:00,mumbai,18.44,0.0,2.58,81.3,0.33
2026-01-16 08:00:00,mumbai,19.55,209.3,2.58,75.0,0.33
2026-01-16 09:00:00,mumbai,21.0,400.0,3.18,69.3,0.32
2026-01-16 10:00:00,mumbai,22.69,555.1,3.74,64.5,0.31
2026-01-16 11:00:00,mumbai,24.5,660.9,4.22,61.0,0.3
2026-01-16 12:00:00,mumbai,26.31,708.0,4.59,58.8,0.28
2026-01-16 13:00:00,mumbai,28.0,692.2,4.82,58.0,0.26
2026-01-16 14:00:00,mumbai,29.45,614.9,4.9,58.8,0.24
2026-01-16 15:00:00,mumbai,30.56,482.9,4.82,61.0,0.22
2026-01-16 16:00:00,mumbai,31.26,308.1,4.59,64.5,0.21
2026-01-16 17:00:00,mumbai,31.5,105.8,4.22,69.3,0.19
2026-01-16 18:00:00,mumbai,31.26,0.0,3.74,75.0,0.18
2026-01-16 19:00:00,mumbai,30.56,0.0,3.18,81.3,0.17
2026-01-16 20:00:00,mumbai,29.45,0.0,2.58,88.0,0.17
2026-01-16 21:00:00,mumbai,28.0,0.0,2.58,88.0,0.17
2026-01-16 22:00:00,mumbai,26.31,0.0,2.58,88.0,0.18
2026-01-16 23:00:00,mumbai,24.5,0.0,2.58,88.0,0.19
2026-01-17 00:00:00,mumbai,22.69,0.0,2.58,88.0,0.21
2026-01-17 01:00:00,mumbai,21.0,0.0,2.58,88.0,0.23
2026-01-17 02:00:00,mumbai,19.55,0.0,2.58,88.0,0.24
2026-01-17 03:00:00,mumbai,18.44,0.0,2.58,88.0,0.26
2026-01-17 04:00:00,mumbai,17.74,0.0,2.58,88.0,0.28
2026-01-17 05:00:00,mumbai,17.5,0.0,2.58,88.0,0.3
2026-01-17 06:00:00,mumbai,17.74,0.0,2.58,88.0,0.31
2026-01-17 07:00:00,mumbai,18.44,0.0,2.58,81.3,0.32
2026-01-17 08:00:00,mumbai,19.55,209.3,2.58,75.0,0.33
2026-01-17 09:00:00,mumbai,21.0,400.0,3.18,69.3,0.33
2026-01-17 10:00:00,mumbai,22.69,555.1,3.74,64.5,0.32
2026-01-17 11:00:00,mumbai,24.5,660.9,4.22,61.0,0.32
2026-01-17 12:00:00,mumbai,26.31,708.0,4.59,58.8,0.3
